Standard,ENG,POR,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009 not supported yet
Places_special_distance,,,,,,,QT_VAGAS_PROG_ESP_EAD,QT_VAGAS_PROG_ESP_EAD,QT_VAGAS_PROG_ESP_EAD,QT_VAGAS_PROG_ESP_EAD,QT_VAGAS_PROG_ESP_EAD,QT_VAGAS_PROG_ESP_EAD,,,,,
Places_main_full-time,,,,,,,QT_VAGAS_PRINCIPAL_INTEGRAL,QT_VAGAS_PRINCIPAL_INTEGRAL,QT_VAGAS_PRINCIPAL_INTEGRAL,,,,QT_VAGAS_PRINCIPAL_INTEGRAL,,,,
Places_main_morning,,,,,,,QT_VAGAS_PRINCIPAL_MATUTINO,QT_VAGAS_PRINCIPAL_MATUTINO,QT_VAGAS_PRINCIPAL_MATUTINO,,,,QT_VAGAS_PRINCIPAL_MATUTINO,,,,
Places_main_afternoon,,,,,,,QT_VAGAS_PRINCIPAL_VESPERTINO,QT_VAGAS_PRINCIPAL_VESPERTINO,QT_VAGAS_PRINCIPAL_VESPERTINO,,,,QT_VAGAS_PRINCIPAL_VESPERTINO,,,,
Places_main_evening,,,,,,,QT_VAGAS_PRINCIPAL_NOTURNO,QT_VAGAS_PRINCIPAL_NOTURNO,QT_VAGAS_PRINCIPAL_NOTURNO,,,,QT_VAGAS_PRINCIPAL_NOTURNO,,,,
Places_main_distance,,,,,,,QT_VAGAS_PRINCIPAL_EAD,QT_VAGAS_PRINCIPAL_EAD,QT_VAGAS_PRINCIPAL_EAD,,,,QT_VAGAS_PRINCIPAL_EAD,,,,
Places_other_full-time,,,,,,,QT_VAGAS_OUTRAS_INTEGRAL,QT_VAGAS_OUTRAS_INTEGRAL,QT_VAGAS_OUTRAS_INTEGRAL,,,,QT_OUTRAS_VAGAS_INTEGRAL,,,,
Places_other_morning,,,,,,,QT_VAGAS_OUTRAS_MATUTINO,QT_VAGAS_OUTRAS_MATUTINO,QT_VAGAS_OUTRAS_MATUTINO,,,,QT_OUTRAS_VAGAS_MATUTINO,,,,
Places_other_afternoon,,,,,,,QT_VAGAS_OUTRAS_VESPERTINO,QT_VAGAS_OUTRAS_VESPERTINO,QT_VAGAS_OUTRAS_VESPERTINO,,,,QT_OUTRAS_VAGAS_VESPERTINO,,,,
Places_other_evening,,,,,,,QT_VAGAS_OUTRAS_NOTURNO,QT_VAGAS_OUTRAS_NOTURNO,QT_VAGAS_OUTRAS_NOTURNO,,,,QT_OUTRAS_VAGAS_NOTURNO,,,,
Places_other_distance,,,,,,,QT_VAGAS_OUTRAS_EAD,QT_VAGAS_OUTRAS_EAD,QT_VAGAS_OUTRAS_EAD,,,,QT_OUTRAS_VAGAS_EAD,,,,
Places_full-time,,,,,,,QT_VAGAS_ANUAL_INTEGRAL,QT_VAGAS_ANUAL_INTEGRAL,QT_VAGAS_ANUAL_INTEGRAL,,,,,QT_VAGAS_INTEGRAL_PRES,QT_VAGAS_INTEGRAL_PRES,QT_VAGAS_INTEGRAL_PRES,QT_VAGAS_INTEGRAL
Places_morning,,,,,,,QT_VAGAS_ANUAL_MATUTINO,QT_VAGAS_ANUAL_MATUTINO,QT_VAGAS_ANUAL_MATUTINO,,,,,QT_VAGAS_MATUTINO_PRES,QT_VAGAS_MATUTINO_PRES,QT_VAGAS_MATUTINO_PRES,QT_VAGAS_MATUTINO
Places_afternoon,,,,,,,QT_VAGAS_ANUAL_VESPERTINO,QT_VAGAS_ANUAL_VESPERTINO,QT_VAGAS_ANUAL_VESPERTINO,,,,,QT_VAGAS_VESPERTINO_PRES,QT_VAGAS_VESPERTINO_PRES,QT_VAGAS_VESPERTINO_PRES,QT_VAGAS_VESPERTINO
