Standard,ENG,POR,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009 not supported yet
Freshmen_school_unknown,Freshmen_school_unknown,Ingressante_escola_não_declarado,QT_ING_PROCNAOINFORMADA,QT_ING_PROCNAOINFORMADA,QT_ING_PROCNAOINFORMADA,QT_ING_PROCNAOINFORMADA,,,,,,,,,,,
Enrollment_school_public,Enrollment_school_public,Matrícula_escola_pública,QT_MAT_PROCESCPUBLICA,QT_MAT_PROCESCPUBLICA,QT_MAT_PROCESCPUBLICA,QT_MAT_PROCESCPUBLICA,,,,,,,,,,,
Enrollment_school_private,Enrollment_school_private,Matrícula_escola_particular,QT_MAT_PROCESCPRIVADA,QT_MAT_PROCESCPRIVADA,QT_MAT_PROCESCPRIVADA,QT_MAT_PROCESCPRIVADA,,,,,,,,,,,
Enrollment_school_unknown,Enrollment_school_unknown,Matrícula_escola_não_declarado,QT_MAT_PROCNAOINFORMADA,QT_MAT_PROCNAOINFORMADA,QT_MAT_PROCNAOINFORMADA,QT_MAT_PROCNAOINFORMADA,,,,,,,,,,,
Senior_school_public,Senior_school_public,Concluinte_escola_pública,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPUBLICA,,,,,,,,,,,
Senior_school_private,Senior_school_private,Concluinte_escola_particular,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCESCPRIVADA,,,,,,,,,,,
Senior_school_unknown,Senior_school_unknown,Concluinte_escola_não_declarado,QT_CONC_PROCNAOINFORMADA,QT_CONC_PROCNAOINFORMADA,QT_CONC_PROCNAOINFORMADA,QT_CONC_PROCNAOINFORMADA,,,,,,,,,,,
Freshmen_PARFOR,Freshmen_PARFOR,Ingressante_PARFOR,QT_ING_PARFOR,QT_ING_PARFOR,QT_ING_PARFOR,QT_ING_PARFOR,,,,,,,,,,,
Enrollment_PARFOR,Enrollment_PARFOR,Matrícula_PARFOR,QT_MAT_PARFOR,QT_MAT_PARFOR,QT_MAT_PARFOR,QT_MAT_PARFOR,,,,,,,,,,,
Senior_PARFOR,Senior_PARFOR,Concluinte_PARFOR,QT_CONC_PARFOR,QT_CONC_PARFOR,QT_CONC_PARFOR,QT_CONC_PARFOR,,,,,,,,,,,
Freshmen_social_aid,Freshmen_social_aid,Ingressante_apoio_social,QT_ING_APOIO_SOCIAL,QT_ING_APOIO_SOCIAL,QT_ING_APOIO_SOCIAL,QT_ING_APOIO_SOCIAL,,,,,,,,,,,
Enrollment_social_aid,Enrollment_social_aid,Matrícula_apoio_social,QT_MAT_APOIO_SOCIAL,QT_MAT_APOIO_SOCIAL,QT_MAT_APOIO_SOCIAL,QT_MAT_APOIO_SOCIAL,,,,,,,,,,,
Senior_social_aid,Senior_social_aid,Concluinte_apoio_social,QT_CONC_APOIO_SOCIAL,QT_CONC_APOIO_SOCIAL,QT_CONC_APOIO_SOCIAL,QT_CONC_APOIO_SOCIAL,,,,,,,,,,,
Freshmen_extracurriculars,Freshmen_extracurriculars,Ingressante_atividades_extras,QT_ING_ATIV_EXTRACURRICULAR,QT_ING_ATIV_EXTRACURRICULAR,QT_ING_ATIV_EXTRACURRICULAR,QT_ING_ATIV_EXTRACURRICULAR,,,,,,,,,,,
Enrollment_extracurriculars,Enrollment_extracurriculars,Matrícula_atividades_extras,QT_MAT_ATIV_EXTRACURRICULAR,QT_MAT_ATIV_EXTRACURRICULAR,QT_MAT_ATIV_EXTRACURRICULAR,QT_MAT_ATIV_EXTRACURRICULAR,,,,,,,,,,,
Senior_extracurriculars,Senior_extracurriculars,Concluinte_atividades_extras,QT_CONC_ATIV_EXTRACURRICULAR,QT_CONC_ATIV_EXTRACURRICULAR,QT_CONC_ATIV_EXTRACURRICULAR,QT_CONC_ATIV_EXTRACURRICULAR,,,,,,,,,,,
Freshmen_exchange,Freshmen_exchange,Ingressante_mobilidade,QT_ING_MOB_ACADEMICA,QT_ING_MOB_ACADEMICA,QT_ING_MOB_ACADEMICA,QT_ING_MOB_ACADEMICA,,,,,,,,,,,
Enrollment_exchange,Enrollment_exchange,Matrícula_mobilidade,QT_MAT_MOB_ACADEMICA,QT_MAT_MOB_ACADEMICA,QT_MAT_MOB_ACADEMICA,QT_MAT_MOB_ACADEMICA,,,,,,,,,,,
Senior_exchange,Senior_exchange,Concluinte_mobilidade,QT_CONC_MOB_ACADEMICA,QT_CONC_MOB_ACADEMICA,QT_CONC_MOB_ACADEMICA,QT_CONC_MOB_ACADEMICA,,,,,,,,,,,
