Standard,ENG,POR,2020,2021,2022,2023,2024,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Staff_specialist_male,Staff_specialist_male,Técnicos_especialização_masc,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_ESPECIALIZACAO_MASC
Staff_master_fem,Staff_master_fem,Técnicos_mestrado_fem,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_FEM
Staff_master_male,Staff_master_male,Técnicos_mestrado_masc,QT_TEC_MESTRADO_MASC,QT_TEC_MESTRADO_MASC,QT_TEC_MESTRADO_MASC,QT_TEC_MESTRADO_MASC,QT_TEC_MESTRADO_MASC,QT_TEC_MESTRADO_MASC,QT_TEC_MESTRADO_MASC,QT_TEC_MESTRADO_MASC,QT_TEC_MESTRADO_MASC,QT_TEC_MESTRADO_MASC,QT_TEC_MESTRADO_MASC,QT_TEC_MESTRADO_MASC,QT_TEC_MESTRADO_MASC,QT_TEC_MESTRADO_MASC,QT_TEC_MESTRADO_MASC,QT_TEC_MESTRADO_MASC
Staff_phd_fem,Staff_phd_fem,Técnicos_doutorado_fem,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_FEM
Staff_phd_male,Staff_phd_male,Técnicos_doutorado_masc,QT_TEC_DOUTORADO_MASC,QT_TEC_DOUTORADO_MASC,QT_TEC_DOUTORADO_MASC,QT_TEC_DOUTORADO_MASC,QT_TEC_DOUTORADO_MASC,QT_TEC_DOUTORADO_MASC,QT_TEC_DOUTORADO_MASC,QT_TEC_DOUTORADO_MASC,QT_TEC_DOUTORADO_MASC,QT_TEC_DOUTORADO_MASC,QT_TEC_DOUTORADO_MASC,QT_TEC_DOUTORADO_MASC,QT_TEC_DOUTORADO_MASC,QT_TEC_DOUTORADO_MASC,QT_TEC_DOUTORADO_MASC,QT_TEC_DOUTORADO_MASC
Lib_Database_CAPES,Lib_Database_CAPES,Bib_base_CAPES,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_PORTAL_CAPES,
Lib_Database_other,Lib_Database_other,Bib_base_outras,IN_ACESSO_OUTRAS_BASES,IN_ACESSO_OUTRAS_BASES,IN_ACESSO_OUTRAS_BASES,IN_ACESSO_OUTRAS_BASES,IN_ACESSO_OUTRAS_BASES,IN_ACESSO_OUTRAS_BASES,IN_ACESSO_OUTRAS_BASES,IN_ACESSO_OUTRAS_BASES,IN_ACESSO_OUTRAS_BASES,IN_ACESSO_OUTRAS_BASES,IN_ACESSO_OUTRAS_BASES,IN_ACESSO_OUTRAS_BASES,IN_ACESSO_OUTRAS_BASES,IN_ACESSO_OUTRAS_BASES,IN_ACESSO_OUTRAS_BASES,
Lib_Database_paid,Lib_Database_paid,Bib_base_paga,IN_ASSINA_OUTRA_BASE,IN_ASSINA_OUTRA_BASE,IN_ASSINA_OUTRA_BASE,IN_ASSINA_OUTRA_BASE,IN_ASSINA_OUTRA_BASE,IN_ASSINA_OUTRA_BASE,IN_ASSINA_OUTRA_BASE,,,,,,,,,
Lib_intitutional_repo,Lib_intitutional_repo,Bib_repositório_inst,IN_REPOSITORIO_INSTITUCIONAL,IN_REPOSITORIO_INSTITUCIONAL,IN_REPOSITORIO_INSTITUCIONAL,IN_REPOSITORIO_INSTITUCIONAL,IN_REPOSITORIO_INSTITUCIONAL,IN_REPOSITORIO_INSTITUCIONAL,IN_REPOSITORIO_INSTITUCIONAL,IN_REPOSITORIO_INSTITUCIONAL,IN_REPOSITORIO_INSTITUCIONAL,IN_REPOSITORIO_INSTITUCIONAL,,,,,,
Lib_integrated_search,Lib_integrated_search,Bib_busca_integrada,IN_BUSCA_INTEGRADA,IN_BUSCA_INTEGRADA,IN_BUSCA_INTEGRADA,IN_BUSCA_INTEGRADA,IN_BUSCA_INTEGRADA,IN_BUSCA_INTEGRADA,IN_BUSCA_INTEGRADA,IN_BUSCA_INTEGRADA,IN_BUSCA_INTEGRADA,IN_BUSCA_INTEGRADA,,,,,,
Lib_online_services,Lib_online_services,Bib_serviços_online,IN_SERVICO_INTERNET,IN_SERVICO_INTERNET,IN_SERVICO_INTERNET,IN_SERVICO_INTERNET,IN_SERVICO_INTERNET,IN_SERVICO_INTERNET,IN_SERVICO_INTERNET,IN_SERVICO_INTERNET,IN_SERVICO_INTERNET,IN_SERVICO_INTERNET,,,,,,
Lib_social_media,Lib_social_media,Bib_mídias_sociais,IN_PARTICIPA_REDE_SOCIAL,IN_PARTICIPA_REDE_SOCIAL,IN_PARTICIPA_REDE_SOCIAL,IN_PARTICIPA_REDE_SOCIAL,IN_PARTICIPA_REDE_SOCIAL,IN_PARTICIPA_REDE_SOCIAL,IN_PARTICIPA_REDE_SOCIAL,IN_PARTICIPA_REDE_SOCIAL,IN_PARTICIPA_REDE_SOCIAL,IN_PARTICIPA_REDE_SOCIAL,,,,,,
Lib_online_catalog,Lib_online_catalog,Bib_catálogo_online,IN_CATALOGO_ONLINE,IN_CATALOGO_ONLINE,IN_CATALOGO_ONLINE,IN_CATALOGO_ONLINE,IN_CATALOGO_ONLINE,IN_CATALOGO_ONLINE,IN_CATALOGO_ONLINE,IN_CATALOGO_ONLINE,IN_CATALOGO_ONLINE,IN_CATALOGO_ONLINE,,,,,,
Lib_dig_journals,Lib_dig_journals,Bib_periódico_eletrônico,QT_PERIODICO_ELETRONICO,QT_PERIODICO_ELETRONICO,QT_PERIODICO_ELETRONICO,QT_PERIODICO_ELETRONICO,QT_PERIODICO_ELETRONICO,QT_PERIODICO_ELETRONICO,QT_PERIODICO_ELETRONICO,QT_PERIODICO_ELETRONICO,QT_PERIODICO_ELETRONICO,QT_PERIODICO_ELETRONICO,,,,,,
Lib_dig_books,Lib_dig_books,Bib_livro_eletrônico,QT_LIVRO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_LIVRO_ELETRONICO,,,,,,
Fac_active,Fac_active,Docentes_ativos,QT_DOC_EXE,QT_DOC_EXE,QT_DOC_EXE,QT_DOC_EXE,QT_DOC_EXE,,,,,,,,,,,
Fac_fem,Fac_fem,Docentes_fem,QT_DOC_EX_FEMI,QT_DOC_EX_FEMI,QT_DOC_EX_FEMI,QT_DOC_EX_FEMI,QT_DOC_EX_FEMI,,,,,,,,,,,
Fac_male,Fac_male,Docentes_masc,QT_DOC_EX_MASC,QT_DOC_EX_MASC,QT_DOC_EX_MASC,QT_DOC_EX_MASC,QT_DOC_EX_MASC,,,,,,,,,,,
Fac_high-school,Fac_high-school,Docentes_médio,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_SEM_GRAD,,,,,,,,,,,
Fac_bachelor,Fac_bachelor,Docentes_graduação,QT_DOC_EX_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_GRAD,,,,,,,,,,,
Fac_specialist,Fac_specialist,Docentes_especialização,QT_DOC_EX_ESP,QT_DOC_EX_ESP,QT_DOC_EX_ESP,QT_DOC_EX_ESP,QT_DOC_EX_ESP,,,,,,,,,,,
Fac_master,Fac_master,Docentes_mestrado,QT_DOC_EX_MEST,QT_DOC_EX_MEST,QT_DOC_EX_MEST,QT_DOC_EX_MEST,QT_DOC_EX_MEST,,,,,,,,,,,
Fac_phd,Fac_phd,Docentes_doutorado,QT_DOC_EX_DOUT,QT_DOC_EX_DOUT,QT_DOC_EX_DOUT,QT_DOC_EX_DOUT,QT_DOC_EX_DOUT,,,,,,,,,,,
Fac_full_time,Fac_full_time,Docentes_integral,QT_DOC_EX_INT,QT_DOC_EX_INT,QT_DOC_EX_INT,QT_DOC_EX_INT,QT_DOC_EX_INT,,,,,,,,,,,
Fac_full_exclusive,Fac_full_exclusive,Docentes_dedicação_exclusiva,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_DE,,,,,,,,,,,
Fac_full_non-exclusive,Fac_full_non-exclusive,Docentes_integral_não-exclusiva,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_INT_SEM_DE,,,,,,,,,,,
Fac_part_time,Fac_part_time,Docentes_parcial,QT_DOC_EX_PARC,QT_DOC_EX_PARC,QT_DOC_EX_PARC,QT_DOC_EX_PARC,QT_DOC_EX_PARC,,,,,,,,,,,
Fac_hourly,Fac_hourly,Docentes_horista,QT_DOC_EX_HOR,QT_DOC_EX_HOR,QT_DOC_EX_HOR,QT_DOC_EX_HOR,QT_DOC_EX_HOR,,,,,,,,,,,
Fac_age_0-29,Fac_age_0-29,Docentes_0-29_anos,QT_DOC_EX_0_29,QT_DOC_EX_0_29,QT_DOC_EX_0_29,QT_DOC_EX_0_29,QT_DOC_EX_0_29,,,,,,,,,,,
Fac_age_30-34,Fac_age_30-34,Docentes_30-34_anos,QT_DOC_EX_30_34,QT_DOC_EX_30_34,QT_DOC_EX_30_34,QT_DOC_EX_30_34,QT_DOC_EX_30_34,,,,,,,,,,,
Fac_age_35-39,Fac_age_35-39,Docentes_35-39_anos,QT_DOC_EX_35_39,QT_DOC_EX_35_39,QT_DOC_EX_35_39,QT_DOC_EX_35_39,QT_DOC_EX_35_39,,,,,,,,,,,
Fac_age_40-44,Fac_age_40-44,Docentes_40-44_anos,QT_DOC_EX_40_44,QT_DOC_EX_40_44,QT_DOC_EX_40_44,QT_DOC_EX_40_44,QT_DOC_EX_40_44,,,,,,,,,,,
Fac_age_45-49,Fac_age_45-49,Docentes_45-49_anos,QT_DOC_EX_45_49,QT_DOC_EX_45_49,QT_DOC_EX_45_49,QT_DOC_EX_45_49,QT_DOC_EX_45_49,,,,,,,,,,,
Fac_age_50-54,Fac_age_50-54,Docentes_50-54_anos,QT_DOC_EX_50_54,QT_DOC_EX_50_54,QT_DOC_EX_50_54,QT_DOC_EX_50_54,QT_DOC_EX_50_54,,,,,,,,,,,
Fac_age_55-59,Fac_age_55-59,Docentes_55-59_anos,QT_DOC_EX_55_59,QT_DOC_EX_55_59,QT_DOC_EX_55_59,QT_DOC_EX_55_59,QT_DOC_EX_55_59,,,,,,,,,,,
Fac_age_60+,Fac_age_60+,Docentes_60+_anos,QT_DOC_EX_60_MAIS,QT_DOC_EX_60_MAIS,QT_DOC_EX_60_MAIS,QT_DOC_EX_60_MAIS,QT_DOC_EX_60_MAIS,,,,,,,,,,,
Fac_white,Fac_white,Docentes_brancos,QT_DOC_EX_BRANCA,QT_DOC_EX_BRANCA,QT_DOC_EX_BRANCA,QT_DOC_EX_BRANCA,QT_DOC_EX_BRANCA,,,,,,,,,,,
Fac_Black,Fac_Black,Docentes_pretos,QT_DOC_EX_PRETA,QT_DOC_EX_PRETA,QT_DOC_EX_PRETA,QT_DOC_EX_PRETA,QT_DOC_EX_PRETA,,,,,,,,,,,
Fac_brown,Fac_brown,Docentes_pardos,QT_DOC_EX_PARDA,QT_DOC_EX_PARDA,QT_DOC_EX_PARDA,QT_DOC_EX_PARDA,QT_DOC_EX_PARDA,,,,,,,,,,,
Fac_yellow,Fac_yellow,Docentes_amarelos,QT_DOC_EX_AMARELA,QT_DOC_EX_AMARELA,QT_DOC_EX_AMARELA,QT_DOC_EX_AMARELA,QT_DOC_EX_AMARELA,,,,,,,,,,,
Fac_indigenous,Fac_indigenous,Docentes_indígenas,QT_DOC_EX_INDIGENA,QT_DOC_EX_INDIGENA,QT_DOC_EX_INDIGENA,QT_DOC_EX_INDIGENA,QT_DOC_EX_INDIGENA,,,,,,,,,,,
Fac_ethn_non-disclosed,Fac_ethn_non-disclosed,Docentes_não_declarados,QT_DOC_EX_COR_ND,QT_DOC_EX_COR_ND,QT_DOC_EX_COR_ND,QT_DOC_EX_COR_ND,QT_DOC_EX_COR_ND,,,,,,,,,,,
